, Media,Compound,Date,Negative,Neutral,Positive,Tweets_Ago
415,nytimes,0.8126,Mon Jan 08 07:04:21 +0000 2018,0.0,0.607,0.393,16
416,nytimes,0.0,Mon Jan 08 07:04:20 +0000 2018,0.0,1.0,0.0,17
417,nytimes,0.5719,Mon Jan 08 07:04:20 +0000 2018,0.0,0.861,0.139,18
418,nytimes,0.0,Mon Jan 08 07:04:18 +0000 2018,0.0,1.0,0.0,19
419,nytimes,0.7964,Mon Jan 08 07:04:17 +0000 2018,0.147,0.479,0.374,20
420,nytimes,0.5859,Mon Jan 08 07:04:16 +0000 2018,0.0,0.84,0.16,21
421,nytimes,0.0,Mon Jan 08 07:04:14 +0000 2018,0.0,1.0,0.0,22
422,nytimes,-0.1027,Mon Jan 08 07:04:14 +0000 2018,0.111,0.796,0.093,23
423,nytimes,0.0,Mon Jan 08 07:04:13 +0000 2018,0.0,1.0,0.0,24
424,nytimes,0.0772,Mon Jan 08 07:04:11 +0000 2018,0.0,0.902,0.098,25
425,nytimes,0.0,Mon Jan 08 07:04:10 +0000 2018,0.0,1.0,0.0,26
426,nytimes,-0.264,Mon Jan 08 07:04:10 +0000 2018,0.139,0.764,0.097,27
427,nytimes,0.128,Mon Jan 08 07:04:05 +0000 2018,0.19,0.579,0.231,28
428,nytimes,-0.6597,Mon Jan 08 07:04:05 +0000 2018,0.278,0.634,0.088,29
429,nytimes,0.0,Mon Jan 08 07:04:03 +0000 2018,0.0,1.0,0.0,30
430,nytimes,-0.4019,Mon Jan 08 07:04:03 +0000 2018,0.197,0.803,0.0,31
431,nytimes,0.0,Mon Jan 08 07:04:03 +0000 2018,0.0,1.0,0.0,32
432,nytimes,-0.4019,Mon Jan 08 07:04:02 +0000 2018,0.124,0.876,0.0,33
433,nytimes,0.0,Mon Jan 08 07:04:01 +0000 2018,0.0,1.0,0.0,34
434,nytimes,0.5719,Mon Jan 08 07:03:59 +0000 2018,0.0,0.861,0.139,35
435,nytimes,0.0,Mon Jan 08 07:03:59 +0000 2018,0.0,1.0,0.0,36
436,nytimes,0.5106,Mon Jan 08 07:03:58 +0000 2018,0.127,0.612,0.261,37
437,nytimes,0.1531,Mon Jan 08 07:03:58 +0000 2018,0.0,0.902,0.098,38
438,nytimes,0.0,Mon Jan 08 07:03:57 +0000 2018,0.0,1.0,0.0,39
439,nytimes,0.0258,Mon Jan 08 07:03:56 +0000 2018,0.169,0.656,0.175,40
440,nytimes,0.2023,Mon Jan 08 07:03:56 +0000 2018,0.0,0.927,0.073,41
441,nytimes,0.0,Mon Jan 08 07:03:55 +0000 2018,0.0,1.0,0.0,42
442,nytimes,-0.4215,Mon Jan 08 07:03:55 +0000 2018,0.118,0.882,0.0,43
443,nytimes,-0.5574,Mon Jan 08 07:03:55 +0000 2018,0.474,0.526,0.0,44
444,nytimes,0.0,Mon Jan 08 07:03:54 +0000 2018,0.0,1.0,0.0,45
445,nytimes,0.0,Mon Jan 08 07:03:54 +0000 2018,0.0,1.0,0.0,46
446,nytimes,0.5719,Mon Jan 08 07:03:54 +0000 2018,0.0,0.861,0.139,47
447,nytimes,0.0,Mon Jan 08 07:03:53 +0000 2018,0.0,1.0,0.0,48
448,nytimes,0.0,Mon Jan 08 07:03:52 +0000 2018,0.0,1.0,0.0,49
449,nytimes,0.5719,Mon Jan 08 07:03:52 +0000 2018,0.0,0.861,0.139,50
450,nytimes,0.8402,Mon Jan 08 07:03:51 +0000 2018,0.0,0.714,0.286,51
451,nytimes,0.4926,Mon Jan 08 07:03:51 +0000 2018,0.0,0.775,0.225,52
452,nytimes,0.0,Mon Jan 08 07:03:49 +0000 2018,0.0,1.0,0.0,53
453,nytimes,0.0,Mon Jan 08 07:03:49 +0000 2018,0.0,1.0,0.0,54
454,nytimes,0.5859,Mon Jan 08 07:03:48 +0000 2018,0.0,0.84,0.16,55
455,nytimes,0.7964,Mon Jan 08 07:03:48 +0000 2018,0.147,0.479,0.374,56
456,nytimes,0.0516,Mon Jan 08 07:03:48 +0000 2018,0.208,0.531,0.261,57
457,nytimes,0.0,Mon Jan 08 07:03:47 +0000 2018,0.0,1.0,0.0,58
458,nytimes,0.2263,Mon Jan 08 07:03:45 +0000 2018,0.0,0.921,0.079,59
459,nytimes,-0.34,Mon Jan 08 07:03:44 +0000 2018,0.118,0.882,0.0,60
460,nytimes,0.5972,Mon Jan 08 07:03:44 +0000 2018,0.0,0.823,0.177,61
461,nytimes,-0.0772,Mon Jan 08 07:03:42 +0000 2018,0.132,0.755,0.113,62
462,nytimes,0.0,Mon Jan 08 07:03:42 +0000 2018,0.0,1.0,0.0,63
463,nytimes,-0.3612,Mon Jan 08 07:03:42 +0000 2018,0.238,0.762,0.0,64
464,nytimes,0.0,Mon Jan 08 07:03:41 +0000 2018,0.0,1.0,0.0,65
465,nytimes,0.4404,Mon Jan 08 07:03:41 +0000 2018,0.0,0.707,0.293,66
466,nytimes,0.3182,Mon Jan 08 07:03:41 +0000 2018,0.0,0.887,0.113,67
467,nytimes,-0.0516,Mon Jan 08 07:03:40 +0000 2018,0.075,0.858,0.067,68
468,nytimes,0.0,Mon Jan 08 07:03:40 +0000 2018,0.0,1.0,0.0,69
469,nytimes,0.0,Mon Jan 08 07:03:39 +0000 2018,0.0,1.0,0.0,70
470,nytimes,0.5719,Mon Jan 08 07:03:39 +0000 2018,0.0,0.861,0.139,71
471,nytimes,-0.8519,Mon Jan 08 07:03:39 +0000 2018,0.283,0.717,0.0,72
472,nytimes,0.2732,Mon Jan 08 07:03:39 +0000 2018,0.107,0.741,0.152,73
473,nytimes,0.2732,Mon Jan 08 07:03:39 +0000 2018,0.0,0.806,0.194,74
474,nytimes,0.0,Mon Jan 08 07:03:39 +0000 2018,0.0,1.0,0.0,75
475,nytimes,-0.4767,Mon Jan 08 07:03:38 +0000 2018,0.147,0.853,0.0,76
476,nytimes,0.0,Mon Jan 08 07:03:38 +0000 2018,0.0,1.0,0.0,77
477,nytimes,0.0,Mon Jan 08 07:03:37 +0000 2018,0.0,1.0,0.0,78
478,nytimes,-0.4215,Mon Jan 08 07:03:37 +0000 2018,0.109,0.891,0.0,79
479,nytimes,0.0,Mon Jan 08 07:03:36 +0000 2018,0.0,1.0,0.0,80
